videoID,personName,imageHeight,imageWidth,videoDuration,averageFaceSize,numVideosForPerson
Alison_Lohman_0,Alison_Lohman,228.0,213.0,240.0,90.15,6.0
Alison_Lohman_1,Alison_Lohman,248.0,201.0,79.0,108.417721519,6.0
Alison_Lohman_2,Alison_Lohman,335.0,308.0,136.0,122.161764706,6.0
Alison_Lohman_3,Alison_Lohman,151.0,110.0,53.0,58.0,6.0
Alison_Lohman_4,Alison_Lohman,236.0,228.0,147.0,91.6802721088,6.0
Alison_Lohman_5,Alison_Lohman,227.0,179.0,68.0,105.647058824,6.0
Kevin_Spacey_0,Kevin_Spacey,196.0,264.0,91.0,99.91208791209999,6.0
Kevin_Spacey_1,Kevin_Spacey,260.0,217.0,59.0,120.186440678,6.0
Kevin_Spacey_2,Kevin_Spacey,186.0,175.0,71.0,86.74647887319999,6.0
Kevin_Spacey_3,Kevin_Spacey,100.0,89.0,99.0,44.636363636400006,6.0
Kevin_Spacey_4,Kevin_Spacey,212.0,207.0,240.0,99.025,6.0
Kevin_Spacey_5,Kevin_Spacey,242.0,205.0,203.0,116.886699507,6.0
Lauren_Hutton_0,Lauren_Hutton,223.0,202.0,127.0,96.08661417319999,6.0
Lauren_Hutton_1,Lauren_Hutton,279.0,213.0,68.0,107.191176471,6.0
Lauren_Hutton_2,Lauren_Hutton,320.0,361.0,55.0,193.781818182,6.0
Lauren_Hutton_3,Lauren_Hutton,325.0,281.0,240.0,136.158333333,6.0
Lauren_Hutton_4,Lauren_Hutton,222.0,208.0,51.0,103.431372549,6.0
Lauren_Hutton_5,Lauren_Hutton,165.0,192.0,147.0,56.4353741497,6.0
Robert_F_Kennedy_Jr_0,Robert_F_Kennedy_Jr,192.0,169.0,240.0,84.8125,6.0
Robert_F_Kennedy_Jr_1,Robert_F_Kennedy_Jr,229.0,232.0,107.0,109.43925233600001,6.0
Robert_F_Kennedy_Jr_2,Robert_F_Kennedy_Jr,259.0,211.0,83.0,110.28915662700001,6.0
Robert_F_Kennedy_Jr_3,Robert_F_Kennedy_Jr,157.0,125.0,47.0,68.0,6.0
Robert_F_Kennedy_Jr_4,Robert_F_Kennedy_Jr,240.0,211.0,87.0,109.333333333,6.0
Robert_F_Kennedy_Jr_5,Robert_F_Kennedy_Jr,163.0,157.0,240.0,74.6791666667,6.0
Amanda_Beard_0,Amanda_Beard,369.0,325.0,83.0,184.036144578,5.0
Amanda_Beard_1,Amanda_Beard,168.0,147.0,123.0,73.3414634146,5.0
Amanda_Beard_2,Amanda_Beard,180.0,144.0,79.0,83.1898734177,5.0
Amanda_Beard_3,Amanda_Beard,236.0,218.0,95.0,116.515789474,5.0
Amanda_Beard_4,Amanda_Beard,136.0,132.0,115.0,54.947826086999996,5.0
Andrew_Bernard_0,Andrew_Bernard,240.0,234.0,135.0,111.53333333299999,5.0
Andrew_Bernard_1,Andrew_Bernard,303.0,271.0,211.0,133.151658768,5.0
Andrew_Bernard_2,Andrew_Bernard,272.0,255.0,63.0,128.968253968,5.0
Andrew_Bernard_3,Andrew_Bernard,199.0,217.0,75.0,103.65333333299999,5.0
Andrew_Bernard_4,Andrew_Bernard,210.0,222.0,55.0,99.72727272729999,5.0
Barbara_Brezigar_1,Barbara_Brezigar,231.0,197.0,131.0,102.297709924,5.0
Barbara_Brezigar_2,Barbara_Brezigar,208.0,211.0,58.0,104.017241379,5.0
Barbara_Brezigar_3,Barbara_Brezigar,242.0,227.0,240.0,116.05,5.0
Barbara_Brezigar_4,Barbara_Brezigar,251.0,223.0,85.0,114.764705882,5.0
Barbara_Brezigar_5,Barbara_Brezigar,219.0,216.0,63.0,97.3492063492,5.0
Daniel_Kurtzer_0,Daniel_Kurtzer,335.0,271.0,60.0,144.3,5.0
Daniel_Kurtzer_1,Daniel_Kurtzer,190.0,158.0,177.0,70.1638418079,5.0
Daniel_Kurtzer_2,Daniel_Kurtzer,220.0,205.0,240.0,100.5125,5.0
Daniel_Kurtzer_3,Daniel_Kurtzer,171.0,152.0,240.0,73.8708333333,5.0
Daniel_Kurtzer_4,Daniel_Kurtzer,108.0,80.0,95.0,40.4315789474,5.0
Elizabeth_Berkeley_1,Elizabeth_Berkeley,360.0,372.0,47.0,230.744680851,5.0
Elizabeth_Berkeley_2,Elizabeth_Berkeley,186.0,169.0,151.0,86.33774834440001,5.0
Elizabeth_Berkeley_3,Elizabeth_Berkeley,134.0,105.0,60.0,53.6166666667,5.0
Elizabeth_Berkeley_4,Elizabeth_Berkeley,238.0,218.0,240.0,110.78333333299999,5.0
Elizabeth_Berkeley_5,Elizabeth_Berkeley,209.0,189.0,127.0,88.4960629921,5.0
Fred_Eckhard_0,Fred_Eckhard,115.0,94.0,111.0,51.7387387387,5.0
Fred_Eckhard_1,Fred_Eckhard,160.0,132.0,78.0,71.51282051279999,5.0
Fred_Eckhard_2,Fred_Eckhard,272.0,296.0,240.0,171.2875,5.0
Fred_Eckhard_3,Fred_Eckhard,116.0,95.0,240.0,47.7333333333,5.0
Fred_Eckhard_4,Fred_Eckhard,233.0,232.0,240.0,109.45416666700001,5.0
George_W_Bush_0,George_W_Bush,268.0,275.0,51.0,151.568627451,5.0
